Country,Date,Round,Challenge,Streetview,Coordinates,Region,Record Count
Kenya,"Nov 27, 2021",4,Challenge,Street view,"0.5127208122875575,35.576781987666237",Elgeyo-Marakwet County,1
Israel,"Nov 27, 2021",5,Challenge,Street view,"32.0557118,34.7564858",Tel Aviv District,1
New Zealand,"Nov 28, 2021",1,Challenge,Street view,"-42.29951212169771,171.61174298138289",West Coast Region,1
Slovenia,"Nov 28, 2021",2,Challenge,Street view,"45.940570276937642,14.33579839520343",Vrhnika,1
Colombia,"Nov 28, 2021",3,Challenge,Street view,"3.86349178797579,-73.540594746094911",Meta,1
New Zealand,"Nov 28, 2021",4,Challenge,Street view,"-46.8976352,168.1225773",Southland Region,1
Thailand,"Nov 28, 2021",5,Challenge,Street view,"17.85580164243953,103.3801722205317",Chang Wat Udon Thani,1
Argentina,"Nov 29, 2021",1,Challenge,Street view,"-29.426094904817571,-65.355063577721282",Catamarca,1
Egypt,"Nov 29, 2021",2,Challenge,Street view,"29.87539552397871,31.22320448107223",Giza Governorate,1
Greenland,"Nov 29, 2021",3,Challenge,Street view,"70.6786447,-52.1471529",Avannaata,1
Russia,"Nov 29, 2021",4,Challenge,Street view,"48.232395554201062,45.9043548981363",Astrakhanskaya oblast',1
Netherlands,"Nov 29, 2021",5,Challenge,Street view,"51.999251508255092,6.5828040372447081",Gelderland,1
Canada,"Nov 30, 2021",1,Challenge,Street view,"49.130426273761493,-116.6351733663635",British Columbia,1
Mongolia,"Nov 30, 2021",2,Challenge,Street view,"49.156980211237411,104.74839261557",Selenge,1
Peru,"Nov 30, 2021",3,Challenge,Street view,"-6.6904002903279913,-79.447757850082709",Lambayeque,1
Netherlands,"Nov 30, 2021",4,Challenge,Street view,"52.3823185,4.6472326",Noord-Holland,1
New Zealand,"Nov 30, 2021",5,Challenge,Street view,"-44.134890962451038,170.34847877330481",Canterbury Region,1
Canada,"Dec 1, 2021",1,Challenge,Street view,"49.214264680262069,-122.9710564148882",British Columbia,1
Greece,"Dec 1, 2021",2,Challenge,Street view,"37.5166316,22.471844",Peloponnese Region,1
Japan,"Dec 1, 2021",3,Challenge,Street view,"34.81795057380797,135.4267055920042",Osaka,1
Germany,"Dec 1, 2021",4,Challenge,Street view,"50.055863446700577,8.5871592767005875",Hessen,1
Thailand,"Dec 1, 2021",5,Challenge,Street view,"6.519114509094118,100.4191637649345",Songkhla,1
Austria,"Dec 2, 2021",1,Challenge,Street view,"47.229933315076451,12.050395177344379",Tirol,1
Greece,"Dec 2, 2021",2,Challenge,Street view,"35.556325470303513,24.088307025295681",Crete,1
Bangladesh,"Dec 2, 2021",3,Challenge,Street view,"24.1492255825383,91.347165497574025",Sylhet Division,1
Argentina,"Dec 2, 2021",4,Challenge,Street view,"-33.56466215090559,-60.756554748073142",Santa Fe,1
Ecuador,"Dec 2, 2021",5,Challenge,Street view,"-0.13255970926388591,-78.4978207404803",Pichincha,1
India,"Dec 3, 2021",1,Challenge,Street view,"20.005612698947651,73.68685294073299",Maharashtra,1
Slovakia,"Dec 3, 2021",2,Challenge,Street view,"48.719873859177852,21.255895368995571",Košický kraj,1
Slovenia,"Dec 3, 2021",3,Challenge,Street view,"46.0576894,14.5060517",Ljubljana,1
Argentina,"Dec 3, 2021",4,Challenge,Street view,"-35.852949011434632,-57.906667376904757",Provincia de Buenos Aires,1
Argentina,"Dec 3, 2021",5,Challenge,Street view,"-34.520979726269658,-60.47064997226839",Provincia de Buenos Aires,1
Bolivia,"Dec 4, 2021",1,Challenge,Street view,"-16.59904256860279,-68.834136353457779",Departamento de La Paz,1
India,"Dec 4, 2021",2,Challenge,Street view,"24.88723069403958,74.644312673596886",Rajasthan,1
Canada,"Dec 4, 2021",3,Challenge,Street view,"47.005692615457427,-53.643082677852519",Newfoundland and Labrador,1
United Kingdom,"Dec 4, 2021",4,Challenge,Street view,"57.2801616,-5.7138289",Highland Council,1
Canada,"Dec 4, 2021",5,Challenge,Street view,"46.478464606315782,-64.911151279580324",New Brunswick,1
Peru,"Dec 5, 2021",1,Challenge,Street view,"-17.1218189,-71.7993741",Arequipa,1
South Africa,"Dec 5, 2021",2,Challenge,Street view,"-27.26560012005913,23.967704263312861",North West,1
Russia,"Dec 5, 2021",3,Challenge,Street view,"58.243675901917257,30.778627058522581",Novgorodskaya oblast',1
Indonesia,"Dec 5, 2021",4,Challenge,Street view,"-7.674265677157134,108.8002843424396",West Java,1
United Kingdom,"Dec 5, 2021",5,Challenge,Street view,"51.49157054424488,-0.13882875171980141",Greater London,1
Russia,"Dec 6, 2021",1,Challenge,Street view,"55.497028528428977,60.250653281924563",Chelyabinskaya oblast',1
Serbia,"Dec 6, 2021",2,Challenge,Street view,"43.582146285639588,20.228999840069431",Moravički okrug,1
Peru,"Dec 6, 2021",3,Challenge,Street view,"-7.5194517705573451,-78.142994536418485",Cajamarca,1
Argentina,"Dec 6, 2021",4,Challenge,Street view,"-32.3322842,-64.2914179",Córdoba,1
South Africa,"Dec 6, 2021",5,Challenge,Street view,"-33.300856761039107,20.077531508932768",Western Cape,1
Russia,"Dec 7, 2021",1,Challenge,Street view,"44.2315841,40.0961696",Adygea Republic,1
France,"Dec 7, 2021",2,Challenge,Street view,"43.591324679807776,7.0051922969036369",Provence-Alpes-Côte d'Azur,1
Belgium,"Dec 7, 2021",3,Challenge,Street view,"50.63936811907854,5.5917825341260263",Région wallonne,1
United States,"Dec 7, 2021",4,Challenge,Street view,"47.92823648985366,-91.761290932711375",Minnesota,1
Estonia,"Dec 7, 2021",5,Challenge,Street view,"59.054533810329033,24.007717206385081",Lääne maakond,1
New Zealand,"Dec 8, 2021",1,Challenge,Street view,"-44.16746259154975,170.85544000397081",Canterbury Region,1
Greenland,"Dec 8, 2021",2,Challenge,Street view,"69.2275198652219,-51.093527879957293",Avannaata,1
Greenland,"Dec 8, 2021",3,Challenge,Street view,"70.6789748517061,-52.144946497928473",Avannaata,1
Belgium,"Dec 8, 2021",4,Challenge,Street view,"50.857847305543913,4.1170621735218624",Vlaanderen,1
Peru,"Dec 8, 2021",5,Challenge,Street view,"-13.930041051985491,-75.948531605887624",Ica,1
Taiwan,"Dec 9, 2021",1,Challenge,Street view,"24.41527809711511,118.3468125252397",Taiwan,1
Germany,"Dec 9, 2021",2,Challenge,Street view,"51.515765013109487,7.4649678023570711",Nordrhein-Westfalen,1
Germany,"Dec 9, 2021",3,Challenge,Street view,"53.080453667920857,8.7805993064889",Bremen,1
Cambodia,"Dec 9, 2021",4,Challenge,Street view,"12.255629830135559,105.6888508287564",Tbong Khmum Province,1
United States,"Dec 9, 2021",5,Challenge,Street view,"34.387606912152087,-99.024304604322339",Oklahoma,1
Sweden,"Dec 10, 2021",1,Challenge,Street view,"56.059855205883423,12.975272072099679",Skåne län,1
Philippines,"Dec 10, 2021",2,Challenge,Street view,"16.356742098223229,119.8557075595118",Pangasinan,1
Colombia,"Dec 10, 2021",3,Challenge,Street view,"7.9925632681065917,-75.199833443746556",Antioquia,1
Russia,"Dec 10, 2021",4,Challenge,Street view,"57.715442443963752,63.0427265645727",Sverdlovskaya oblast',1
Israel,"Dec 10, 2021",5,Challenge,Street view,"33.2100328,35.6072081",North District,1
Ecuador,"Dec 11, 2021",1,Challenge,Street view,"-1.499799850663653,-79.9391233367806",Guayas,1
Egypt,"Dec 11, 2021",2,Challenge,Street view,"29.9766377358675,31.135884995653409",Giza Governorate,1
Mongolia,"Dec 11, 2021",3,Challenge,Street view,"47.918356691260861,106.8831959003809",Ulaanbaatar,1
Chile,"Dec 11, 2021",4,Challenge,Street view,"-31.7815364,-70.9579641",Coquimbo,1
Bangladesh,"Dec 11, 2021",5,Challenge,Street view,"24.0552161,90.9831518",Dhaka Division,1
Uruguay,"Dec 12, 2021",1,Challenge,Street view,"-34.872105930273307,-56.203015663413517",Departamento de Montevideo,1
Serbia,"Dec 12, 2021",2,Challenge,Street view,"43.94660000968927,21.38064364536902",Pomoravski okrug,1
Uruguay,"Dec 12, 2021",3,Challenge,Street view,"-34.86287021048,-56.2013323904328",Departamento de Montevideo,1
Austria,"Dec 12, 2021",4,Challenge,Street view,"47.229933315076451,12.050395177344379",Tirol,1
Russia,"Dec 12, 2021",5,Challenge,Street view,"57.681677112534608,59.365092582374288",Sverdlovskaya oblast',1
South Africa,"Dec 13, 2021",1,Challenge,Street view,"-29.288862213594719,21.159900819723351",Northern Cape,1
Latvia,"Dec 13, 2021",2,Challenge,Street view,"56.746586394822558,24.727611271627541",Ogres novads,1
Poland,"Dec 13, 2021",3,Challenge,Street view,"52.014451335668568,15.14047723446317",Województwo lubuskie,1
Brazil,"Dec 13, 2021",4,Challenge,Street view,"-18.069040124621349,-41.296491238965352",Minas Gerais,1
Philippines,"Dec 13, 2021",5,Challenge,Street view,"14.5979087,120.9894927",Metropolitan Manila First District,1
Türkiye,"Dec 14, 2021",1,Challenge,Street view,"38.086576553930321,31.372487400123529",Isparta,1
Bangladesh,"Dec 14, 2021",2,Challenge,Street view,"22.673341149537251,89.743013458155957",Khulna Division,1
Colombia,"Dec 14, 2021",3,Challenge,Street view,"5.1932929778625674,-76.000459168277274",Risaralda,1
Colombia,"Dec 14, 2021",4,Challenge,Street view,"1.7593402925689909,-75.765541157671947",Caquetá,1
Portugal,"Dec 14, 2021",5,Challenge,Street view,"41.3029334,-7.7407367",Vila Real,1
Greece,"Dec 15, 2021",1,Challenge,Street view,"40.6901969426046,24.62049173321202",East Macedonia and Thrace,1
Japan,"Dec 15, 2021",2,Challenge,Street view,"37.1634801,138.1434689",Niigata,1
Philippines,"Dec 15, 2021",3,Challenge,Street view,"14.5979087,120.9894927",Metropolitan Manila First District,1
Canada,"Dec 15, 2021",4,Challenge,Street view,"50.1072101,-125.0515715",British Columbia,1
Greece,"Dec 15, 2021",5,Challenge,Street view,"40.6901969426046,24.62049173321202",East Macedonia and Thrace,1
Bolivia,"Dec 16, 2021",1,Challenge,Street view,"-17.746064224431372,-63.159099314918983",Departamento de Santa Cruz,1
United States,"Dec 16, 2021",2,Challenge,Street view,"40.801994274281348,-73.96937722889588",New York,1
Bangladesh,"Dec 16, 2021",3,Challenge,Street view,"23.756612080525048,89.455498768292614",Dhaka Division,1
Canada,"Dec 16, 2021",4,Challenge,Street view,"44.023024109093747,-77.908015951587075",Ontario,1
Serbia,"Dec 16, 2021",5,Challenge,Street view,"43.958545517019822,21.346402713684181",Pomoravski okrug,1
Senegal,"Dec 17, 2021",1,Challenge,Street view,"14.4353002391165,-16.866330331029911",Thiès Region,1
Canada,"Dec 17, 2021",2,Challenge,Street view,"47.511354740984842,-70.5109369079492",Québec,1
Greece,"Dec 17, 2021",3,Challenge,Street view,"39.465355415906018,21.3148271108123",Thessalia,1
Austria,"Dec 17, 2021",4,Challenge,Street view,"47.265956452841358,11.408390225978071",Tirol,1
Russia,"Dec 17, 2021",5,Challenge,Street view,"51.374394414542152,42.493834223166068",Voronezhskaya oblast',1
Lithuania,"Dec 18, 2021",1,Challenge,Street view,"55.937015735212462,23.307397804332421",Šiaulių apskritis,1
India,"Dec 18, 2021",2,Challenge,Street view,"30.220436947419749,75.699582466563527",Punjab,1
Norway,"Dec 18, 2021",3,Challenge,Street view,"65.9956269,12.9322974",Nordland,1
Chile,"Dec 18, 2021",4,Challenge,Street view,"-22.44814629323632,-68.897969286947628",Antofagasta,1
Ecuador,"Dec 18, 2021",5,Challenge,Street view,"-3.2563607398821519,-79.9589860492306",El Oro,1
Austria,"Dec 19, 2021",1,Challenge,Street view,"47.816265508866309,12.9977339195161",Salzburg,1
Canada,"Dec 19, 2021",2,Challenge,Street view,"49.887331332140192,-119.483508174159",British Columbia,1
Sweden,"Dec 19, 2021",3,Challenge,Street view,"63.696035088981994,16.877507462396121",Västernorrlands län,1
Australia,"Dec 19, 2021",4,Challenge,Street view,"-35.7558848,137.8954511",South Australia,1
Spain,"Dec 19, 2021",5,Challenge,Street view,"42.903122229893228,-1.201624197694068",Navarra,1
France,"Dec 20, 2021",1,Challenge,Street view,"49.396517721989973,-0.968406695612007",Normandy,1
Russia,"Dec 20, 2021",2,Challenge,Street view,"52.088701341638632,35.859679883764137",Kurskaya oblast',1
Argentina,"Dec 20, 2021",3,Challenge,Street view,"-36.692784294055329,-64.405089545482767",La Pampa,1
United Arab Emirates,"Dec 20, 2021",4,Challenge,Street view,"25.194181069236361,55.274156920001879",Dubai,1
Ireland,"Dec 20, 2021",5,Challenge,Street view,"53.3070801,-9.8590667",County Galway,1
Philippines,"Dec 21, 2021",1,Challenge,Street view,"14.60899397184914,121.3083293286075",Rizal,1
Isle of Man,"Dec 21, 2021",2,Challenge,Street view,"54.0738499345094,-4.6553784882144589",Castletown,1
Mongolia,"Dec 21, 2021",3,Challenge,Street view,"47.919335670248493,106.91753164403571",Ulaanbaatar,1
Colombia,"Dec 21, 2021",4,Challenge,Street view,"8.0141623520146368,-73.519214284061945",Cesar,1
Malaysia,"Dec 21, 2021",5,Challenge,Street view,"5.4397477148389068,100.302947588087",Pulau Pinang,1
Sweden,"Dec 22, 2021",1,Challenge,Street view,"57.93431613036838,12.508271018431881",Västra Götalands län,1
France,"Dec 22, 2021",2,Challenge,Street view,"50.3128965,2.7644868",Hauts-de-France,1
Canada,"Dec 22, 2021",3,Challenge,Street view,"44.865277908849507,-77.687834176361193",Ontario,1
United Arab Emirates,"Dec 22, 2021",4,Challenge,Street view,"25.3500076,55.4036546",Sharjah,1
Japan,"Dec 22, 2021",5,Challenge,Street view,"41.102122342030057,141.38840310715489",Aomori,1
Ukraine,"Dec 23, 2021",1,Challenge,Street view,"49.9360351,34.6575329",Poltava Oblast,1
Italy,"Dec 23, 2021",2,Challenge,Street view,"43.55939146579064,12.92736856842987",Marche,1
Argentina,"Dec 23, 2021",3,Challenge,Street view,"-25.083392224596569,-65.002353325912338",Salta,1
Hungary,"Dec 23, 2021",4,Challenge,Street view,"47.491494625176827,19.074509680576291",Budapest,1
Uruguay,"Dec 23, 2021",5,Challenge,Street view,"-31.412681035794819,-55.652519618298207",Departamento de Rivera,1
Poland,"Dec 24, 2021",1,Challenge,Street view,"53.214427530266732,17.15820249994789",Województwo wielkopolskie,1
"Korea, South","Dec 24, 2021",2,Challenge,Street view,"33.2534385,126.5625527",Jeju-do,1
Peru,"Dec 24, 2021",3,Challenge,Street view,"-10.956636555380589,-76.315349258899374",Pasco,1
Switzerland,"Dec 24, 2021",4,Challenge,Street view,"46.73251914308134,7.9533445288668823",Bern,1
Poland,"Dec 24, 2021",5,Challenge,Street view,"54.351237997344363,18.649810071338329",Województwo pomorskie,1
Argentina,"Dec 25, 2021",1,Challenge,Street view,"-26.732057025230731,-54.873641568677883",Misiones,1
Botswana,"Dec 25, 2021",2,Challenge,Street view,"-24.620534916317869,25.899993569691979",Gaborone City,1
Israel,"Dec 25, 2021",3,Challenge,Street view,"32.0857077,34.8357715",Tel Aviv District,1
Kenya,"Dec 25, 2021",4,Challenge,Street view,"-0.36886716740420511,35.286172765159769",Kericho County,1
Argentina,"Dec 25, 2021",5,Challenge,Street view,"-43.356198719504107,-65.5083823041057",Chubut,1
Greece,"Dec 26, 2021",1,Challenge,Street view,"38.426331274773517,24.012869874878909",Central Greece,1
Germany,"Dec 26, 2021",2,Challenge,Street view,"53.4587321,9.9851599",Hamburg,1
Cambodia,"Dec 26, 2021",3,Challenge,Street view,"11.06002946517593,105.5584436347286",Prey Veng Province,1
Mexico,"Dec 26, 2021",4,Challenge,Street view,"18.117273558503129,-92.118413066312115",Campeche,1
Netherlands,"Dec 26, 2021",5,Challenge,Street view,"53.112001883640318,6.0818161751266366",Friesland,1
Portugal,"Dec 27, 2021",1,Challenge,Street view,"38.7274631,-9.137944",Lisboa,1
Denmark,"Dec 27, 2021",2,Challenge,Street view,"54.948535464817247,8.7851079894593074",Region of Southern Denmark,1
Mexico,"Dec 27, 2021",3,Challenge,Street view,"22.90146719835899,-98.551416001779074",Tamaulipas,1
Australia,"Dec 27, 2021",4,Challenge,Street view,"-28.632859374786769,152.01210752318039",New South Wales,1
United Kingdom,"Dec 27, 2021",5,Challenge,Street view,"57.302161124387553,-4.3275420407382139",Highland Council,1
Finland,"Dec 28, 2021",1,Challenge,Street view,"61.764549080687658,22.51212528118965",Satakunta,1
Germany,"Dec 28, 2021",2,Challenge,Street view,"53.080453667920857,8.7805993064889",Bremen,1
Colombia,"Dec 28, 2021",3,Challenge,Street view,"9.64827977566727,-73.646335582619471",Cesar,1
Philippines,"Dec 28, 2021",4,Challenge,Street view,"13.59009782924592,123.2509249596383",Camarines Sur,1
Kenya,"Dec 28, 2021",5,Challenge,Street view,"0.0507988,37.6458722",Meru County,1
Australia,"Dec 30, 2021",1,Challenge,Street view,"-41.768032064925791,147.71292204559319",Tasmania,1
Lithuania,"Dec 30, 2021",2,Challenge,Street view,"54.849609842809087,24.925194716063121",Vilniaus apskritis,1
Poland,"Dec 30, 2021",3,Challenge,Street view,"54.190593336037509,16.151232007016489",Województwo zachodniopomorskie,1
Canada,"Dec 30, 2021",4,Challenge,Street view,"50.468062002608221,-114.2539849434993",Alberta,1
South Africa,"Dec 30, 2021",5,Challenge,Street view,"-27.397131726397959,23.659252527789061",Northern Cape,1
Türkiye,"Dec 31, 2021",1,Challenge,Street view,"38.48473536453421,34.24760221665953",Aksaray,1
Denmark,"Dec 31, 2021",2,Challenge,Street view,"54.916678870020583,9.6913304217221565",Region of Southern Denmark,1
Slovakia,"Dec 31, 2021",3,Challenge,Street view,"48.638381895839657,19.945879032745491",Banskobystrický kraj,1
Latvia,"Dec 31, 2021",4,Challenge,Street view,"57.197987857607693,21.440885877218061",Ventspils novads,1
Argentina,"Dec 31, 2021",5,Challenge,Street view,"-34.493126240401672,-60.149891488196111",Provincia de Buenos Aires,1
Canada,"Jan 1, 2022",1,Challenge,Street view,"48.01677365073995,-53.256115298790718",Newfoundland and Labrador,1
Malaysia,"Jan 1, 2022",2,Challenge,Street view,"2.8194007430237931,103.4435566893514",Pahang,1
Isle of Man,"Jan 1, 2022",3,Challenge,Street view,"54.363457686744859,-4.503184766255008",Jurby,1
Cambodia,"Jan 1, 2022",4,Challenge,Street view,"11.8340737037185,105.3680366173167",Prey Veng Province,1
Philippines,"Jan 1, 2022",5,Challenge,Street view,"10.9119463378615,121.99323905565829",Antique,1
Switzerland,"Jan 2, 2022",1,Challenge,Street view,"46.373291219913249,10.02977722760065",Grisons,1
Romania,"Jan 2, 2022",2,Challenge,Street view,"47.452374928183382,23.939487463219631",Județul Maramureș,1
Italy,"Jan 2, 2022",3,Challenge,Street view,"45.1090028932483,7.6410570529405177",Piemonte,1
Japan,"Jan 2, 2022",4,Challenge,Street view,"35.659008171238447,139.74569290697119",Tokyo,1
Argentina,"Jan 2, 2022",5,Challenge,Street view,"-37.946604247924043,-58.690169386779083",Provincia de Buenos Aires,1
Estonia,"Jan 3, 2022",1,Challenge,Street view,"58.254580586768427,22.55489834255005",Saare maakond,1
Slovakia,"Jan 3, 2022",2,Challenge,Street view,"48.1463363,17.1070555",Bratislavský kraj,1
Brazil,"Jan 3, 2022",3,Challenge,Street view,"-23.574992969812239,-45.338776702234277",São Paulo,1
Australia,"Jan 3, 2022",4,Challenge,Street view,"-31.956697564043591,115.8466640470149",Western Australia,1
Japan,"Jan 3, 2022",5,Challenge,Street view,"34.0207951,133.5717093",Ehime,1
Colombia,"Jan 4, 2022",1,Challenge,Street view,"8.3128752952765943,-73.634715316642811",Cesar,1
Portugal,"Jan 4, 2022",2,Challenge,Street view,"40.001376865127277,-8.7986513909014157",Leiria,1
Bangladesh,"Jan 4, 2022",3,Challenge,Street view,"22.327517051758559,91.810911760743139",Chittagong Division,1
Mongolia,"Jan 4, 2022",4,Challenge,Street view,"47.886204640861223,106.9398777321519",Ulaanbaatar,1
Australia,"Jan 4, 2022",5,Challenge,Street view,"-20.2682265,148.7172779",Queensland,1
United States,"Jan 5, 2022",1,Challenge,Street view,"37.817754214330023,-122.47839455340539",California,1
Kenya,"Jan 5, 2022",2,Challenge,Street view,"-1.1663059793648991,34.444980658558222",Migori County,1
Isle of Man,"Jan 5, 2022",3,Challenge,Street view,"54.33167201432876,-4.39344880946545",Ramsey,1
United States,"Jan 5, 2022",4,Challenge,Street view,"47.5942171,-115.3482969",Montana,1
Kenya,"Jan 5, 2022",5,Challenge,Street view,"-3.2203771666481109,40.119615934600262",Kilifi County,1
Israel,"Jan 6, 2022",1,Challenge,Street view,"29.55151396740694,34.953481533476072",South District,1
Uruguay,"Jan 6, 2022",2,Challenge,Street view,"-30.8969743929168,-55.55760134586982",Departamento de Rivera,1
United Kingdom,"Jan 6, 2022",3,Challenge,Street view,"53.7941914,-1.5437015",West Yorkshire,1
Austria,"Jan 6, 2022",4,Challenge,Street view,"47.221114658832938,14.77026853514576",Steiermark,1
Ukraine,"Jan 6, 2022",5,Challenge,Street view,"48.679750481902879,28.28695180219221",Vinnyts'ka oblast,1
Bolivia,"Jan 7, 2022",1,Challenge,Street view,"-17.19706107547081,-65.898528258815162",Departamento de Cochabamba,1
Bulgaria,"Jan 7, 2022",2,Challenge,Street view,"42.0165061855219,23.094861898383542",Blagoevgrad,1
"Korea, South","Jan 7, 2022",3,Challenge,Street view,"37.527025306768991,127.0128466578074",Seoul,1
Denmark,"Jan 7, 2022",4,Challenge,Street view,"56.6081781282968,8.5297645886656959",Central Denmark Region,1
Ukraine,"Jan 7, 2022",5,Challenge,Street view,"50.099437117505232,36.279718056599762",Kharkivs'ka oblast,1
Portugal,"Jan 8, 2022",1,Challenge,Street view,"41.1819221347841,-6.9860207358270188",Bragança,1
Netherlands,"Jan 8, 2022",2,Challenge,Street view,"51.454519423527017,6.15601411867341",Limburg,1
Ecuador,"Jan 8, 2022",3,Challenge,Street view,"-3.4785467852761092,-80.225440466595245",El Oro,1
Thailand,"Jan 8, 2022",4,Challenge,Street view,"18.126657471369679,103.521293292311",Bueng Kan,1
Croatia,"Jan 8, 2022",5,Challenge,Street view,"45.332090702382708,14.455347234126981",Primorsko-goranska županija,1
United Kingdom,"Jan 9, 2022",1,Challenge,Street view,"50.4111934,-4.1297652",Plymouth,1
Belgium,"Jan 9, 2022",2,Challenge,Street view,"51.012821048447321,2.9257070983633739",Vlaanderen,1
Canada,"Jan 9, 2022",3,Challenge,Street view,"45.258270503308,-73.612701561955149",Québec,1
Mongolia,"Jan 9, 2022",4,Challenge,Street view,"48.850214507175572,106.4587344739584",Selenge,1
Taiwan,"Jan 9, 2022",5,Challenge,Street view,"25.2099635,121.6432844",New Taipei City,1
Australia,"Jan 10, 2022",1,Challenge,Street view,"-35.5019984,148.1517722",New South Wales,1
Norway,"Jan 10, 2022",2,Challenge,Street view,"69.519180188057135,18.53564248482768",Troms,1
Kenya,"Jan 10, 2022",3,Challenge,Street view,"-0.17238583463817389,37.022403468975732",Nyeri County,1
Denmark,"Jan 10, 2022",4,Challenge,Street view,"55.513188960914142,9.4427563093797158",Region of Southern Denmark,1
Mexico,"Jan 10, 2022",5,Challenge,Street view,"24.3371622541556,-101.3967443215931",Zacatecas,1
Ukraine,"Jan 11, 2022",1,Challenge,Street view,"49.441795622751243,24.527709673032842",Ivano-Frankivs'ka oblast,1
Bangladesh,"Jan 11, 2022",2,Challenge,Street view,"25.1666219,92.0954598",Sylhet Division,1
Slovenia,"Jan 11, 2022",3,Challenge,Street view,"45.596392,14.0873517",Sežana,1
Peru,"Jan 11, 2022",4,Challenge,Street view,"-9.8903070933341191,-76.427677609375081",Huánuco,1
Slovenia,"Jan 11, 2022",5,Challenge,Street view,"46.308471866917593,15.392714196244411",Slovenske Konjice,1
Isle of Man,"Jan 12, 2022",1,Challenge,Street view,"54.0738499345094,-4.6553784882144589",Castletown,1
Italy,"Jan 12, 2022",2,Challenge,Street view,"45.808784424791483,13.1629393383294",Friuli-Venezia Giulia,1
Senegal,"Jan 12, 2022",3,Challenge,Street view,"14.6291381,-16.2258028",Région de Diourbel,1
Türkiye,"Jan 12, 2022",4,Challenge,Street view,"40.381966108706607,40.405719854640658",Bayburt,1
Ecuador,"Jan 12, 2022",5,Challenge,Street view,"0.0035219310579880391,-78.540903868226508",Pichincha,1
Kenya,"Jan 13, 2022",1,Challenge,Street view,"-0.2041481,35.2932638",Kisumu County,1
Türkiye,"Jan 13, 2022",2,Challenge,Street view,"37.3815464465235,36.085641431707472",Osmaniye,1
Senegal,"Jan 13, 2022",3,Challenge,Street view,"13.3246246,-13.3059091",Tambacounda Region,1
Mexico,"Jan 13, 2022",4,Challenge,Street view,"24.982107231428969,-103.73446737929341",Durango,1
Egypt,"Jan 13, 2022",5,Challenge,Street view,"29.977729315900572,31.131662591096191",Giza Governorate,1
United Arab Emirates,"Jan 14, 2022",1,Challenge,Street view,"25.2683079,55.2997983",Dubai,1
Colombia,"Jan 14, 2022",2,Challenge,Street view,"7.9894494808371848,-75.19395122744497",Antioquia,1
Hungary,"Jan 14, 2022",3,Challenge,Street view,"47.463340735188858,19.03370564497877",Budapest,1
Norway,"Jan 14, 2022",4,Challenge,Street view,"62.7924317,7.2321716",Møre og Romsdal,1
Thailand,"Jan 14, 2022",5,Challenge,Street view,"18.06276208976093,103.8364881098078",Bueng Kan,1
Czechia,"Jan 15, 2022",1,Challenge,Street view,"50.2323689,12.8716325",Karlovarský kraj,1
Egypt,"Jan 15, 2022",2,Challenge,Street view,"29.9768935064612,31.135289940242021",Giza Governorate,1
Bulgaria,"Jan 15, 2022",3,Challenge,Street view,"42.7068164,23.334824",Sofia City Province,1
United States,"Jan 15, 2022",4,Challenge,Street view,"42.9759215,-116.0801586",Idaho,1
Israel,"Jan 15, 2022",5,Challenge,Street view,"30.75364211725649,35.230380284812647",South District,1
Greece,"Jan 16, 2022",1,Challenge,Street view,"37.607547898281773,23.05813459513168",Peloponnese Region,1
United Kingdom,"Jan 16, 2022",2,Challenge,Street view,"51.4563543,-3.183734",Caerdydd,1
Australia,"Jan 16, 2022",3,Challenge,Street view,"-33.856338849887763,151.21581463735879",New South Wales,1
Bangladesh,"Jan 16, 2022",4,Challenge,Street view,"22.327517051758559,91.810911760743139",Chittagong Division,1
Peru,"Jan 16, 2022",5,Challenge,Street view,"-10.8012577,-77.7456746",Gobierno Regional de Lima,1
Iceland,"Jan 17, 2022",1,Challenge,Street view,"64.579957031507547,-21.71986989508455",Borgarbyggð,1
Türkiye,"Jan 17, 2022",2,Challenge,Street view,"39.064309692835288,34.33260378618418",Kırşehir,1
Argentina,"Jan 17, 2022",3,Challenge,Street view,"-30.383231953695979,-58.765935277859562",Entre Ríos,1
Kenya,"Jan 17, 2022",4,Challenge,Street view,"-1.366654772462258,38.01070036255836",Kitui County,1
Russia,"Jan 17, 2022",5,Challenge,Street view,"56.1961675247595,40.990258476677781",Vladimirskaya oblast',1
Iceland,"Jan 18, 2022",1,Challenge,Street view,"64.010782791105441,-21.221017945997119",Hveragerðisbær,1
Sweden,"Jan 18, 2022",2,Challenge,Street view,"61.5594132,16.9739184",Gävleborgs län,1
Australia,"Jan 18, 2022",3,Challenge,Street view,"-24.763646302941289,152.38437443774981",Queensland,1
Latvia,"Jan 18, 2022",4,Challenge,Street view,"57.13622957122594,21.42585340692662",Ventspils novads,1
Mexico,"Jan 18, 2022",5,Challenge,Street view,"30.84568679222464,-116.0651426584963",Baja California,1
Guam,"Jan 19, 2022",1,Challenge,Street view,"13.53489796656657,144.80232793301241",Guam,1
Portugal,"Jan 19, 2022",2,Challenge,Street view,"40.001376865127277,-8.7986513909014157",Leiria,1
Chile,"Jan 19, 2022",3,Challenge,Street view,"-29.284786112349071,-71.383012873323239",Coquimbo,1
Portugal,"Jan 19, 2022",4,Challenge,Street view,"37.6053565,-8.0813859",Beja,1
Mongolia,"Jan 19, 2022",5,Challenge,Street view,"47.937710455678143,106.8835425771835",Ulaanbaatar,1
